x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;
-350;-300;-374.3855;-317.3623;2.656307;;-350;0;-371.3429;10.71347;2.200159;;-350;300;-366.5779;334.8888;3.355438;;0;300;-0.5746093;341.962;3.780977;;350;300;368.8112;350.2483;4.567246;;350;0;354.7034;-4.060769;0.5757331;;350;-300;351.3677;-328.176;2.568798;;0;-300;-12.52715;-328.225;2.907037;;0;0;-3.247498;15.33652;1.511161;;
-350;-300;-93.7645;17.60866;39.70986;;-350;0;-11000.57;-12071.8;70.05311;;-350;300;-9367.331;-10312.68;77.3526;;0;300;-115100.5;-127888.4;88.39648;;350;300;-201100.9;-223481;97.30367;;350;0;-483.2135;-573.563;62.14265;;350;-300;-3224.726;-3782.683;76.77497;;0;-300;-433.535;-573.8016;34.91507;;0;0;124.8653;-202.9651;20.01285;;
-350;-300;-349.9645;-244.3808;4.981024;;-350;0;-357.9952;79.25877;7.53653;;-350;300;-355.2766;416.1104;10.60243;;0;300;-4.139825;426.3067;11.84646;;350;300;366.1429;412.0282;10.32937;;350;0;359.8531;82.39711;7.85328;;350;-300;354.2123;-243.119;5.091506;;0;-300;-0.2987489;-244.7067;4.989395;;0;0;2.628895;87.1363;8.446712;;
-350;-300;-368.9139;-300.2973;1.708804;;-350;0;-369.9346;15.40985;2.362397;;-350;300;-367.8181;327.0658;2.938116;;0;300;-2.17154;336.8637;3.482453;;350;300;362.9402;320.6566;2.203626;;350;0;362.8823;16.35551;1.956848;;350;-300;355.0885;-307.1259;0.7393991;;0;-300;-4.652294;-316.3914;1.522128;;0;0;1.839273;17.84732;1.726578;;
-350;-300;-321.2428;-291.2697;2.718366;;-350;0;-329.102;17.34397;2.544837;;-350;300;-335.4447;355.6918;5.209399;;0;300;35.12764;362.2173;6.505085;;350;300;394.8391;323.8326;4.355636;;350;0;390.3059;7.302207;3.692471;;350;-300;383.368;-308.121;3.029054;;0;-300;25.75084;-312.6739;2.711444;;0;0;26.78731;-3.589399;2.616811;;
-350;-300;-375.2572;-283.03;2.812786;;-350;0;-63.92423;454.3143;46.33422;;-350;300;-1.187955;1505.548;62.1306;;0;300;-3.147767;380.464;7.493891;;350;300;187.0348;341.0406;15.74458;;350;0;347.4409;19.52385;1.851501;;350;-300;357.7947;-291.5065;1.068262;;0;-300;1.336396;-298.5429;0.183454;;0;0;0.252988;31.3924;3.03854;;
-350;-300;-360.1727;-295.0516;1.041926;;-350;0;-361.7388;36.92521;3.646582;;-350;300;-365.1552;333.0339;3.250344;;0;300;7.899314;355.7403;5.227085;;350;300;442.5871;98.27378;19.82218;;350;0;361.7191;112.9691;10.67957;;350;-300;364.9864;-126.9506;16.30822;;0;-300;38.41288;-285.8571;3.890481;;0;0;-4.769413;-23.84084;2.337578;;
-350;-300;-366.7627;-303.0879;1.501417;;-350;0;-357.7999;26.33283;2.584523;;-350;300;-359.7831;337.4396;3.469216;;0;300;2.276621;336.019;3.359987;;350;300;364.7243;296.981;1.36358;;350;0;362.919;1.28661;1.189432;;350;-300;350.743;-261.0271;3.561285;;0;-300;165.9197;-301.5386;15.25126;;0;0;163.7169;-136.1949;19.18846;;
-350;-300;-344.6208;-153.5654;13.63957;;-350;0;-371.6817;173.0827;15.35798;;-350;300;-357.0108;491.4537;15.05829;;0;300;24.96103;536.1676;18.66219;;350;300;369.0299;519.8775;17.07564;;350;0;360.5653;201.2648;17.65585;;350;-300;350.6234;-144.3879;14.38229;;0;-300;4.142568;-109.6386;17.94234;;0;0;6.147216;249.0293;21.51916;;
-350;-300;-352.1887;-306.8724;0.6564078;;-350;0;-371.0866;24.10718;2.908787;;-350;300;-345.049;318.5297;1.730653;;0;300;0.1029594;347.3747;4.221832;;350;300;238.1045;136.8003;18.66191;;350;0;382.1956;7.822009;3.009018;;350;-300;389.1057;-403.6823;9.754555;;0;-300;-26.88938;-282.5519;3.047289;;0;0;-9.718237;54.31246;5.258181;;
